id,streetAddress,latitude,longitude,price
485,969 Buena Vista Street,31.2724505,30.7807444,27.0
486,82 Heath Court,11.9170674,5.9832577,24.2
487,34620 Grim Street,-10.249091,-48.3242858,8.1
488,924 Katie Junction,24.8388207,69.4620073,23.2
489,484 Hooker Place,7.0706548,-73.4415929,3.6
490,6950 Cherokee Park,-8.3075674,114.9813499,13.1
491,05 Holmberg Park,-7.9017349,112.5632485,22.1
492,1137 Fairview Road,0.6092923,30.6401231,29.2
493,90 Mifflin Plaza,40.4168034,23.0102888,13.1
494,8 Summerview Road,41.375722,121.781518,4.5
495,0560 Macpherson Plaza,30.514352,111.402171,18.2
496,57 Rusk Trail,49.3756258,40.1418221,8.9
497,91 8th Crossing,54.6410525,22.7575987,20.1
498,72 Ludington Road,49.735524,13.7575556,26.3
499,50648 Porter Trail,15.4584584,43.6303053,15.4
500,8 Holmberg Parkway,10.91667,122.66667,4.4
501,32898 Kim Pass,7.9980992,-72.63877,19.5
502,71 Basil Terrace,49.7582153,21.3418674,6.5
503,082 Grim Street,41.3309238,-8.667162,12.4
504,73 Hayes Center,10.1718844,106.4641459,28.2
505,834 Carberry Trail,34.3020001,48.8145943,6.2
506,69546 Nevada Avenue,31.533333,-4.466667,23.5
507,3493 Erie Point,35.6891975,51.3889736,14.6
508,9 Knutson Avenue,24.724853,118.489851,19.0
509,965 Pond Center,-13.4528458,-172.4041647,4.8
510,8 Grover Junction,-33.9905526,18.666796,1.9
511,91606 Buhler Park,8.2673715,-72.0631118,1.2
512,11 Kennedy Junction,34.8591956,134.5488877,21.7
513,5 Crownhardt Alley,16.043877,120.131429,25.5
514,8 Ridge Oak Trail,15.6540915,121.0410861,5.0
515,19 Delaware Parkway,-12.0582305,-77.1053673,12.5
516,86 Monterey Circle,49.7243301,93.2681254,23.3
517,78760 Monument Road,-5.5680317,132.3446399,24.1
518,7306 Bartelt Parkway,40.076762,113.300129,20.0
519,69 Butterfield Parkway,40.882377,122.685217,9.8
520,1187 Jay Parkway,59.9451756,10.6392492,15.3
521,841 Maple Wood Hill,20.5849821,-76.2247366,23.7
522,09 Cordelia Terrace,39.109563,117.223371,5.9
523,41834 Lakewood Street,47.2876246,5.0131814,4.9
524,30831 Randy Drive,-9.8591671,124.2729225,6.4
525,216 Buhler Trail,32.9566376,11.8492577,4.2
526,90913 Lotheville Trail,2.18873,98.61185,3.8
527,12168 Granby Lane,59.3120521,18.1969429,27.0
528,1 Del Mar Way,-9.8625,119.8963,4.4
529,3 Atwood Drive,-8.6793,122.3355,14.4
530,689 Bobwhite Lane,-8.0884404,-79.0872788,23.6
531,5810 Sage Point,31.375657,34.905759,25.8
532,3 Prairieview Crossing,18.7634836,-70.3352881,9.8
533,4793 Moulton Lane,41.786073,19.6460758,6.9
534,0022 Valley Edge Drive,59.75,43.1333329,14.2
535,0885 Ilene Drive,-6.9665934,112.2205183,21.9
536,6048 Prentice Parkway,37.8064547,-122.2732025,1.5
537,272 Stone Corner Court,49.3883764,21.0533447,15.7
538,3 Maple Avenue,56.5005833,39.6794042,5.6
539,6 Bartillon Park,18.30987,-77.901428,2.1
540,019 Pepper Wood Plaza,43.4968733,-1.4703339,11.3
541,90745 Homewood Parkway,48.1351158,30.077048,20.8
542,74697 Basil Terrace,14.6072726,-90.6793295,15.9
543,4 Truax Hill,36.7949518,-119.7541856,10.9
544,783 Bartelt Point,27.022774,118.304966,6.0
545,42 Kipling Terrace,40.6690083,43.9553461,22.3
546,27 Glacier Hill Hill,51.2034374,7.1301012,28.8
547,14917 Trailsway Hill,22.691253,114.346251,12.8
548,387 Lukken Alley,41.5654743,-8.408069,9.6
549,28 Division Junction,19.6775122,-99.0329594,4.3
550,23 John Wall Way,-22.573223,-47.1731269,2.5
551,8712 Del Mar Parkway,38.2831459,22.0269562,8.2
552,06 Prairieview Lane,-38.8248331,-68.0677378,25.5
553,553 Burning Wood Terrace,33.685735,-5.3677844,28.6
554,3 Kenwood Park,-25.6127554,-57.4655544,27.1
555,630 Memorial Junction,5.385032,-73.364139,25.0
556,52 Hauk Avenue,-8.2497955,112.673499,23.3
557,313 Rieder Drive,-7.1260248,107.8909697,27.4
558,4 Gateway Junction,8.4362867,-69.9959762,7.4
559,87 Mcbride Trail,40.570338,116.554665,14.5
560,15151 Jackson Terrace,39.672791,113.732809,19.6
561,2473 Onsgard Trail,21.958688,103.8854007,23.5
562,85202 Washington Point,59.1511208,28.0935735,12.7
563,34104 Golf Road,52.3533225,18.7293986,20.7
564,29359 Schurz Crossing,41.6454266,-7.5734783,26.8
565,7646 Debra Terrace,14.2376109,-88.4670322,29.8
566,4234 Basil Crossing,-7.0519444,110.7480064,19.7
567,4999 Jenifer Drive,54.1190657,31.1014304,2.6
568,2493 Commercial Terrace,49.1835908,24.7462961,15.2
569,82804 Fordem Way,-20.1060273,-64.4126487,12.3
570,0222 Declaration Park,36.1560347,68.0477509,25.3
571,131 Maywood Way,34.0542897,-4.4259259,5.1
572,98744 Moose Point,13.8211871,-60.9001934,15.6
573,1267 Dottie Drive,36.7010563,118.9112031,18.9
574,5783 Grim Street,-27.3607338,-53.3963199,24.5
575,49278 Bayside Road,14.6602787,120.989116,1.3
576,489 Hoepker Circle,36.068172,120.395912,28.3
577,77 Anniversary Plaza,53.8996586,-6.391149,8.3
578,615 4th Park,8.157005,123.3464285,29.2
579,3192 Lakewood Gardens Point,55.2474741,24.7743055,27.3
580,0528 Melody Lane,45.402837,11.8577064,4.3
581,7630 Cherokee Parkway,13.724167,123.5403713,2.7
582,41799 Weeping Birch Street,42.4635206,21.4694011,26.2
583,6 Express Terrace,-12.4,-74.7,3.3
584,651 Lindbergh Drive,35.3179014,136.9037455,23.7
585,1 Mariners Cove Trail,-6.90821,-79.5772008,13.5
586,4692 Jenna Lane,40.5854016,43.9362677,3.6
587,230 Lotheville Junction,36.114691,101.81962,1.1
588,2 Vera Center,14.8925962,-88.7812586,2.7
589,337 Menomonie Plaza,40.2655961,23.2039759,4.5
590,15 Melvin Pass,45.478943,42.1414011,7.6
591,08 Lyons Place,2.01643,10.47066,30.0
592,1 Kim Circle,-6.2287891,106.6914555,15.4
593,9215 Hallows Alley,-4.203165,-69.935907,22.3
594,6 Charing Cross Junction,27.786996,120.091498,14.2
595,2 Pankratz Trail,15.983333,44.233333,26.5
596,260 Susan Pass,-18.0292038,-63.4021544,20.1
597,3 Texas Center,58.5563017,15.0091903,16.0
598,1 Chinook Alley,59.2370677,18.2035092,13.7
599,07537 Union Crossing,14.5937178,120.9676054,4.3
600,05 Cherokee Avenue,25.5822549,-100.9086492,17.0
601,75527 Michigan Crossing,39.3577545,-9.3495726,7.4
602,38 Granby Road,49.9176763,18.3509727,1.8
603,839 Carey Pass,14.6539775,121.0288525,10.2
604,76 Old Shore Alley,-14.658228,49.6452092,4.2
605,0515 Michigan Parkway,-5.8327847,-43.8356779,29.5
606,48 Meadow Vale Circle,59.233082,163.067535,8.2
607,466 Ruskin Drive,29.684901,106.602255,4.1
608,21438 Independence Trail,-7.2030729,112.0237903,13.8
609,1620 Meadow Vale Crossing,41.5237953,-8.7261408,28.0
610,05670 Declaration Circle,51.3830331,20.0136604,21.3
611,5 Mifflin Terrace,2.013818,-75.9373449,26.9
612,57849 Golf View Terrace,45.9773921,39.3668159,3.0
613,436 Burning Wood Hill,11.6994751,122.2790551,9.1
614,5 Kim Lane,27.955261,112.497228,1.5
615,3887 Banding Crossing,21.808052,108.182377,26.2
616,41293 Mandrake Alley,-8.802,121.3118,13.5
617,1994 7th Street,60.0114861,15.7899671,4.2
618,40197 Bellgrove Plaza,50.177791,22.6095389,1.5
619,058 Burrows Crossing,0.4016398,32.043969,12.6
620,80531 Boyd Drive,-7.31054,107.77903,3.3
621,2516 Maple Wood Lane,-3.3245445,114.6193373,26.8
622,038 Carey Junction,34.7478469,10.766163,2.6
623,2455 Dapin Court,-8.1814,113.6917,12.0
624,6101 Rockefeller Street,51.0720479,16.881153,25.0
625,767 Messerschmidt Terrace,33.892837,99.135994,10.2
626,47783 Clemons Hill,24.561134,112.235945,4.6
627,484 Kipling Pass,31.5344951,35.1245284,23.6
628,6 Thackeray Court,28.533752,100.270651,18.7
629,081 Golf View Point,16.1535575,-13.5032081,23.4
630,33 Crowley Crossing,49.2234017,14.4205698,4.9
631,32764 Springview Park,-8.5985,115.1455,21.1
632,495 Cody Crossing,-23.4819846,-49.2435998,23.5
633,3585 Bartillon Hill,-14.96617,-73.3855899,6.8
634,5961 Cascade Parkway,7.5048177,-11.4779299,11.9
635,1 Northwestern Trail,30.608675,114.980217,19.9
636,505 Farwell Center,-8.6034763,122.1873269,16.3
637,86526 Lien Point,25.386379,114.922922,21.1
638,85 Bay Pass,23.681774,113.056042,20.3
639,0501 Glacier Hill Way,54.357088,21.315311,11.7
640,4448 Comanche Plaza,13.6216631,-87.8991514,23.1
641,218 Columbus Circle,40.3727775,-7.8600447,21.2
642,74331 Sloan Alley,49.9606288,13.6430342,16.6
643,7158 Esch Point,25.423994,119.038321,15.7
644,9611 Beilfuss Parkway,52.6244001,20.3835279,8.4
645,37376 Pankratz Pass,3.2443317,99.4976356,25.8
646,990 Lawn Crossing,39.5955323,-7.5303251,27.5
647,51 Sutteridge Hill,-2.2527615,115.7101789,20.7
648,037 Sullivan Way,-18.8228804,-40.9050432,14.6
649,24 Transport Terrace,-7.6746075,112.9475835,16.4
650,028 Vidon Court,-26.3374785,-60.4304186,22.7
651,28493 Johnson Drive,56.198791,25.3251951,19.1
652,637 Cambridge Alley,-7.8169756,111.9790773,6.9
653,7543 Novick Center,47.5619629,-0.9147447,13.2
654,145 Starling Road,14.5994449,120.9990792,6.5
655,6793 Loomis Hill,37.9512175,23.4910916,12.7
656,2918 Darwin Junction,-8.5740103,115.2379322,15.5
657,694 Sycamore Park,55.7304016,26.2456407,28.1
658,3 West Terrace,31.9852068,119.5719162,20.8
659,7621 Maple Junction,14.3839328,121.050126,27.0
660,645 Reinke Avenue,-37.9707308,-57.6258993,13.4
661,7 Parkside Terrace,4.5604389,-74.115187,8.0
662,3 Anzinger Parkway,12.0036455,107.6876481,7.3
663,81383 Hollow Ridge Lane,5.973323,80.437663,14.1
664,45 Comanche Road,10.8847156,121.9757838,23.1
665,165 Ridgeway Point,39.978848,119.775799,11.5
666,9 Logan Pass,33.24001,68.8663,5.2
667,6 Harper Place,-17.53333,-149.33333,17.0
668,67 Northridge Center,23.076233,113.86913,6.8
669,9144 Shasta Way,45.0818466,18.3957811,2.0
670,34927 Goodland Terrace,46.3611841,38.2725015,19.0
671,28 Transport Court,42.8518656,-8.5638609,3.6
672,670 Old Gate Trail,58.935714,69.1475573,10.9
673,761 Becker Terrace,21.1494763,-100.956682,28.5
674,3875 Saint Paul Parkway,-25.2426589,-53.9785591,23.7
675,6 Meadow Ridge Junction,45.7790993,4.9307738,26.9
676,47369 Mendota Drive,37.768027,117.087268,21.6
677,0804 Talisman Center,7.0063409,-7.4868283,8.5
678,692 Monterey Junction,-1.0645451,103.9608091,26.0
679,5448 Village Lane,8.1601168,-71.1448516,20.9
680,1136 Washington Circle,37.510549,118.325556,27.0
681,7 Banding Lane,43.4945737,5.8978018,28.0
682,382 Tennyson Hill,26.3237782,88.5167162,14.6
683,243 Sherman Circle,34.857149,118.07065,4.3
684,7 Meadow Valley Junction,49.5416577,16.2341158,2.9
685,9162 Old Gate Road,-7.5450262,111.6556388,15.7
686,9 Crowley Point,-8.2824,125.0434,13.2
687,21 Mosinee Junction,-7.135868,-34.9662353,5.4
688,986 Arrowood Place,33.6682421,-117.7659237,26.5
689,592 Summerview Court,53.0641593,38.0521393,6.5
690,01 Corscot Trail,40.996725,19.5270566,18.4
691,7390 Bartelt Crossing,62.3316244,27.7461577,26.7
692,60807 Moland Court,6.176967,-75.341462,5.0
693,4738 Dixon Place,32.5569557,35.8479094,15.0
694,680 Pennsylvania Plaza,-6.728,111.049,28.7
695,40 Briar Crest Court,34.8742638,71.1537637,2.5
696,16218 Pankratz Crossing,34.10885,-118.2234229,25.9
697,09852 American Trail,49.2513639,22.6952648,29.6
698,9 Badeau Park,24.546876,107.04219,30.0
699,2099 Meadow Ridge Plaza,30.9162065,121.6776404,13.2
700,52 Hollow Ridge Plaza,38.4251725,23.6720959,17.0
701,82123 Valley Edge Point,41.096515,45.4741645,12.7
702,30 Cascade Center,-8.6601628,117.4615118,15.3
703,116 Cordelia Plaza,62.471883,65.5542239,24.3
704,1 Daystar Pass,-6.1874721,106.8274787,22.8
705,3 Bay Court,56.4245513,12.869882,15.3
706,88314 Park Meadow Junction,-8.0925,111.9417,18.0
707,399 Manitowish Lane,70.67472,-52.12639,13.0
708,2 Meadow Ridge Pass,29.316819,111.997187,2.6
709,8608 5th Avenue,-21.5679739,-45.7142063,3.1
710,0 Golden Leaf Place,32.964648,35.495997,6.8
711,03 Roth Trail,29.9601879,-95.5587992,29.9
712,9158 Iowa Crossing,10.4597466,-66.5581092,26.1
713,47069 Memorial Parkway,49.3197453,17.0367923,25.1
714,0128 Coolidge Way,-8.3647935,124.0857174,29.2
715,4362 Kipling Place,37.219543,122.117995,9.7
716,285 Haas Avenue,54.8771794,26.9388432,7.7
717,17 Graceland Terrace,46.1659122,14.5719694,6.0
718,141 Northland Terrace,6.129226,102.236216,14.2
719,84 Gateway Center,36.276526,109.351019,21.4
720,9550 Bashford Point,-16.115743,-49.3247147,14.7
721,7 Bobwhite Street,10.9893,119.3593,2.7
722,47 Dahle Place,63.8223321,20.2753893,24.2
723,62 Gerald Court,19.4102526,-99.0073673,20.3
724,7 Bartillon Road,31.811201,35.259602,19.8
725,2547 Golf Course Plaza,48.7885683,2.3884283,18.8
726,60113 Graceland Drive,-27.7145846,-48.5606259,20.5
727,23 Basil Terrace,-4.3562151,33.617577,23.7
728,1574 Westport Place,-7.7798092,110.3562018,15.8
729,9 Prairieview Place,50.6797247,14.6466542,24.1
730,5082 Delladonna Way,29.42,-98.49,21.8
731,944 Logan Avenue,40.4095521,49.7653156,21.9
732,988 Sheridan Terrace,59.262542,17.978333,10.4
733,07483 Mcguire Avenue,-8.1241998,111.9924913,16.9
734,078 Straubel Lane,4.6096768,101.1064003,10.6
735,46 Darwin Pass,30.713107,120.181069,19.6
736,02 Namekagon Way,52.6340378,28.9459316,23.4
737,1 Bonner Avenue,-6.8330992,106.3198908,28.4
738,30066 Melody Pass,18.144657,-94.4189829,25.2
739,3810 Bultman Drive,42.9895326,131.8411237,3.4
740,1 Brickson Park Hill,8.9112352,38.6267637,29.6
741,5 Nobel Circle,30.164679,120.161441,11.2
742,74 Donald Plaza,-1.658501,29.2204548,21.9
743,4 2nd Park,8.2414293,124.2469573,5.2
744,24530 Pepper Wood Hill,37.1264754,-8.2996637,1.3
745,554 Washington Parkway,41.9914135,121.6412579,7.7
746,51956 Kropf Street,-6.87792,115.50689,2.8
747,423 Warrior Hill,10.7540279,106.6633746,27.3
748,1443 Menomonie Alley,-7.3145841,112.7576691,15.3
749,59 Eliot Pass,48.8466523,2.2582125,12.4
750,56175 Lunder Court,-9.3863122,-37.9926586,25.1
751,6213 Scofield Lane,27.9805586,94.6884956,15.4
752,331 Granby Crossing,40.6902433,21.6226189,22.4
753,17 Arkansas Drive,49.4648362,2.8898334,18.9
754,925 Evergreen Way,8.7461253,-72.5263984,21.0
755,906 Johnson Plaza,49.5658236,18.814406,15.4
756,203 Reindahl Point,-40.1500467,-71.3377934,27.1
757,6 Redwing Drive,54.70972,-7.74208,24.9
758,4809 Autumn Leaf Parkway,-14.5205297,-75.2019585,15.0
759,053 Shelley Place,26.4836842,117.9249002,9.5
760,176 Vidon Terrace,13.4734999,122.6157793,10.1
761,54 Anzinger Way,7.0727574,100.4059456,5.9
762,345 Gina Junction,23.750306,109.221465,26.8
763,03969 Delladonna Place,37.617044,120.79935,7.7
764,3923 Mayfield Park,-3.3343297,102.4552546,24.9
765,5 Chinook Terrace,-7.0130494,108.525539,1.4
766,89 Tomscot Parkway,-21.1661005,27.5143603,19.7
767,33140 Prairie Rose Junction,12.1151051,12.8256275,4.5
768,5268 Lukken Park,19.2000657,-98.8016731,14.1
769,6 North Lane,59.4013379,17.9291325,5.4
770,22618 Mendota Junction,29.985295,122.207215,12.2
771,27533 Eagan Center,-6.5588437,-78.7348674,7.4
772,1 Service Hill,57.4775613,38.2760868,10.9
773,3671 Oneill Junction,39.128291,117.251586,16.3
774,70 Glendale Circle,48.8466523,2.2582125,20.1
775,98878 Surrey Park,25.0329694,121.5654177,6.6
776,5 Cascade Trail,54.9086072,82.9751504,8.3
777,6543 Annamark Place,37.9133273,139.0158281,22.8
778,1960 Waxwing Point,36.74,-119.8,14.1
779,6 Arapahoe Road,34.1596834,72.2333024,22.4
780,17379 Blaine Street,49.5555137,21.6832308,7.2
781,6 Derek Avenue,-7.9110809,111.4253892,2.1
782,6 Moose Court,14.6592829,121.0483527,29.8
783,7025 Carioca Park,53.8354447,91.3960432,3.3
784,037 Pennsylvania Parkway,54.79074,18.403,17.8
785,1439 Sugar Lane,54.9536614,73.3865836,17.3
786,20 Oriole Junction,48.523117,34.613683,15.7
787,47 Monument Street,39.5779145,48.9718588,26.5
788,8215 Crownhardt Circle,-5.0402647,103.8390162,6.3
789,27 High Crossing Trail,-7.337694,109.9094336,6.8
790,26949 Oxford Circle,56.4441479,52.2293876,1.9
791,4102 Meadow Vale Plaza,43.977331,81.318189,1.8
792,20 Onsgard Court,52.322296,18.3838669,10.1
793,52621 Moose Plaza,35.1612182,-5.2632201,20.9
794,00 Petterle Center,21.856289,103.3413048,28.3
795,3 2nd Pass,13.6784265,99.9576849,19.6
796,5 Upham Street,-31.4325479,-64.1305924,25.1
797,84 Kedzie Road,9.4362547,123.1893864,7.0
798,7024 Stuart Pass,45.8209156,41.7473982,6.5
799,894 Green Ridge Street,-6.162275,106.7883416,22.0
800,88 Northport Crossing,38.240395,114.926498,3.7
801,24 Hooker Avenue,37.8247025,-25.6435923,10.7
802,1 Parkside Way,59.8505671,17.6418492,25.3
803,4 Clyde Gallagher Alley,14.6628087,-87.7787929,14.6
804,3 Morningstar Point,-8.3993683,118.2702036,14.7
805,62 Myrtle Point,18.9436472,-69.7912411,3.8
806,2 Linden Alley,2.579401,-77.8138553,13.3
807,465 Dixon Avenue,11.6485321,13.4193903,16.2
808,1224 Superior Circle,38.5142512,116.5977552,24.2
809,632 Carey Street,-7.8862987,110.4649383,12.4
810,5397 Express Street,24.546876,107.04219,27.1
811,6314 Sommers Alley,3.0100681,101.5326734,7.6
812,49983 Sheridan Pass,44.5652451,17.5341531,29.6
813,314 Victoria Place,34.728584,112.132488,9.8
814,13549 Gale Place,-3.0029841,115.9467997,11.3
815,88 Nova Plaza,39.7446895,-104.9933772,5.4
816,838 8th Way,39.803681,112.073298,11.8
817,10737 Helena Road,38.290338,-8.2274142,3.5
818,8 Clyde Gallagher Avenue,-9.916667,-75.783333,5.6
819,55970 Monterey Court,37.0079695,127.2796786,29.8
820,01 Sundown Lane,-27.7203552,-48.563999,9.0
821,05 Victoria Trail,23.2654395,113.3547602,19.5
822,05733 Vahlen Lane,59.85299,30.245977,4.3
823,0944 Steensland Avenue,29.222446,94.067389,17.2
824,017 Swallow Center,-2.569886,140.50321,29.7
825,0848 Mayer Circle,59.1987737,17.8332915,7.3
826,9776 Valley Edge Alley,22.958471,113.089242,28.6
827,812 Superior Avenue,-10.9057388,-37.681228,22.3
828,829 Darwin Center,40.6196638,47.1500324,12.1
829,36 Kropf Alley,-4.4008685,-68.5247149,5.8
830,81 Eastwood Plaza,51.9886098,81.8433417,12.9
831,00037 Veith Center,-40.0642898,175.3488701,25.2
832,74495 Miller Terrace,-0.6256517,100.1233396,26.8
833,4 Fuller Road,15.9156421,2.396174,3.7
834,0 Oxford Terrace,-8.1141,111.7762,12.8
835,95479 Jenifer Avenue,-9.6498487,-35.7089492,12.5
836,28 Scott Way,62.5854497,29.767082,17.4
837,945 8th Parkway,-8.9066345,121.3064286,3.6
838,2769 Bobwhite Terrace,54.8098373,36.3116274,15.2
839,52 Loomis Avenue,5.7511525,9.3146014,5.8
840,44 Buena Vista Avenue,7.761063,-73.393617,11.4
841,7599 Gateway Junction,-20.8097593,27.2029363,6.5
842,3 Atwood Junction,38.5574091,-121.4848927,29.1
843,483 Jana Street,53.543617,49.2636336,25.8
844,4981 Manufacturers Plaza,28.6751124,57.7371569,7.9
845,68 Sycamore Court,31.302134,109.655804,25.0
846,80 Brickson Park Center,52.1513886,4.4982869,10.5
847,22 Ruskin Avenue,51.4700683,16.6142027,6.5
848,6 Pennsylvania Circle,-22.5306158,-52.1708052,20.9
849,707 Parkside Terrace,7.1796355,-2.1008486,13.2
850,0657 Forest Court,52.7643345,87.8895009,28.9
851,1364 Forest Hill,29.330041,119.334789,8.5
852,267 Welch Point,38.8066577,-9.1857991,24.0
853,6 Farwell Park,46.2475531,-60.2362743,6.3
854,3554 Kropf Trail,40.4770427,-79.9571907,29.7
855,2717 Atwood Point,11.992373,119.853171,2.9
856,0 Grover Way,-8.1075296,110.8440632,22.7
857,17 Messerschmidt Trail,41.3351832,-8.6022276,7.1
858,53972 Arapahoe Alley,40.798124,120.5550729,16.0
859,4279 Ruskin Terrace,59.1743158,18.236243,17.6
860,4066 Alpine Park,0.4167052,109.0334318,18.1
861,1 Cherokee Court,-12.67442,-75.325157,27.4
862,7 Talisman Park,23.36225,103.374576,17.7
863,8345 Autumn Leaf Junction,40.660321,43.8869814,9.5
864,162 Arizona Pass,36.7821,117.032171,15.2
865,7 Roxbury Pass,17.361305,121.879282,19.0
866,66 Sunbrook Plaza,12.2387911,109.1967488,4.6
867,2333 Pennsylvania Road,-34.7277137,-58.3326356,11.5
868,31904 Monica Parkway,-21.6029893,-48.3644226,20.6
869,1 Morrow Drive,23.113478,113.417068,2.1
870,5321 Pennsylvania Place,35.319084,114.540858,11.8
871,14988 Summer Ridge Drive,52.5055101,19.8369688,27.5
872,4 Meadow Vale Pass,27.318852,115.444319,9.5
873,4 Tennessee Terrace,25.9923398,89.2847251,14.1
874,5 Old Gate Park,41.3371316,-8.5394062,22.9
875,2569 Dennis Parkway,42.6962642,2.8797149,11.8
876,1 Golden Leaf Center,32.874735,117.531622,2.2
877,9 Thompson Way,49.6220895,0.7501524,24.0
878,827 Shoshone Crossing,59.9458801,10.7822137,20.5
879,8 Homewood Road,32.0547,35.12908,26.7
880,128 Summerview Terrace,38.7341216,-9.1394917,26.1
881,7 Lake View Parkway,14.5134658,121.165772,1.4
882,35318 Mitchell Point,34.8643622,138.315371,4.9
883,60 Debra Trail,47.9644609,106.8254167,8.0
884,27462 Dahle Circle,1.3105389,103.925603,19.8
885,01528 Basil Hill,41.3922962,-8.3323796,29.2
886,69 Hudson Alley,35.786026,109.459516,4.2
887,2097 Gerald Way,59.9050895,10.7673005,3.8
888,92528 Mariners Cove Park,38.070311,114.411459,23.8
889,0 Westerfield Alley,-19.5722805,-65.7550063,11.3
890,3134 Springs Street,48.8540194,14.2111388,21.9
891,29 Norway Maple Trail,40.7485192,-7.8032048,13.9
892,9 Shopko Lane,24.513425,117.723153,23.7
893,40 3rd Lane,18.934217,-70.4066437,21.9
894,48 Duke Crossing,-14.5460011,48.7542899,16.5
895,92050 Village Place,-19.538062,-42.64911,13.0
896,1 Starling Place,47.5619629,-0.9147447,2.6
897,322 Becker Avenue,37.18447,128.46821,24.0
898,42 Judy Place,39.662619,21.7357206,12.7
899,3856 Spaight Park,29.3664336,48.000698,23.3
900,870 Independence Center,12.87678,44.99309,1.8
901,6539 Hintze Court,49.7663957,5.8875346,6.0
902,7 Bluejay Court,48.8579687,2.5764306,14.5
903,450 Crest Line Park,31.114694,121.45033,20.2
904,686 Mitchell Terrace,14.5072887,121.0064151,4.3
905,88132 Mayer Court,42.65,103.8,14.8
906,6371 Merrick Crossing,15.8279992,120.4157561,5.6
907,004 Shoshone Center,-34.6504677,-58.5613439,19.3
908,972 Stephen Road,47.0163969,-68.1430029,10.8
909,453 Westerfield Road,31.236833,121.532286,4.1
910,4662 Badeau Parkway,-8.0980648,111.9790773,1.6
911,4269 Reindahl Crossing,39.7199484,64.5384908,2.6
912,3 Myrtle Crossing,4.761738,-74.464018,20.9
913,7 Bay Alley,20.0429063,110.354037,29.4
914,63900 Dayton Terrace,59.8664826,48.0119891,19.0
915,260 Tennyson Circle,32.515255,95.735762,22.3
916,56887 4th Park,-8.2322924,124.6806813,4.1
917,8 Jana Plaza,40.2740679,22.5416683,8.4
918,2661 Grover Hill,49.1449758,13.2297698,15.5
919,8 Annamark Trail,30.7361622,72.6661867,15.9
920,3483 Macpherson Place,-4.0644217,35.3548545,9.0
921,8 Crest Line Pass,-1.133947,103.0702646,7.1
922,14525 Sullivan Plaza,2.160693,98.4403573,16.5
923,8 Schlimgen Crossing,9.6356686,123.8501765,28.6
924,1 Forest Way,45.9067495,-72.5406445,14.1
925,032 Lakeland Park,41.1214256,-8.6080715,1.4
926,3 Pawling Terrace,46.5875931,39.3949398,24.2
927,7249 Kenwood Point,47.009324,28.8389611,21.9
928,2 Mcguire Court,4.5778968,13.3500652,14.5
929,943 Vidon Avenue,18.5382815,-72.5293562,7.1
930,294 Pankratz Park,-8.557437,114.0369075,14.6
931,3687 Moose Alley,37.7213799,-25.510372,6.4
932,63 Crest Line Hill,48.8818933,17.2802878,1.7
933,55 Jenifer Center,41.4495777,-8.3894249,5.7
934,664 Buell Lane,-11.7172157,43.2473146,4.7
935,59627 7th Center,-8.557437,114.0369075,11.5
936,95873 Hoard Hill,-8.1129167,112.5987727,14.7
937,29 Cascade Way,33.20206,105.278491,29.7
